Unnamed: 0,outcome,cue,rep,interblock,iti,shape,sound,csOnset,usOnset,credit,distance,probeAns,score,thisTrialN,timestamp,designIndx,cueIndex,subjectID
0,coin,A,1,1,3786,empty,tinwhistle,21796.06000008061,25766.99500007089,0,453,-99,0,0,2021-04-13 15:25:49.505000+00:00,5,57,1
1,bomb,B,1,1,3773,empty,bell,31383.205000078306,35383.12000001315,0,425,-99,0,1,2021-04-13 15:25:59.122000+00:00,5,57,1
2,probe,A,1,1,5810,empty,tinwhistle,39883.06999998167,43883.04500002413,0,363,0,0,2,2021-04-13 15:26:07.622000+00:00,5,57,1
3,coin,BZ,1,1,6849,square,bell,63016.09000004827,67032.77499997057,10,353,-99,0,3,2021-04-13 15:26:30.771000+00:00,5,57,1
4,probe,X,1,1,3890,triangle,silent,75249.46500000077,79265.9950000234,0,443,-1,10,4,2021-04-13 15:26:43.004000+00:00,5,57,1
5,probe,AW,1,1,3197,circle,tinwhistle,86732.6700000558,90749.19000000227,0,440,-2,10,5,2021-04-13 15:26:54.488000+00:00,5,57,1
6,bomb,BY,1,1,5217,star,bell,96465.91000002806,100482.43500001264,-10,285,-99,10,6,2021-04-13 15:27:04.221000+00:00,5,57,1
7,coin,A,1,1,5086,empty,tinwhistle,106249.10999997519,110249.03499998616,10,388,-99,0,7,2021-04-13 15:27:13.988000+00:00,5,57,1
8,coin,BY,1,1,6589,star,bell,115598.97499997167,119615.65000005065,0,445,-99,10,8,2021-04-13 15:27:23.354000+00:00,5,57,1
9,bomb,B,1,1,5566,empty,bell,126982.33000002801,130998.82500001695,0,458,-99,10,9,2021-04-13 15:27:34.737000+00:00,5,57,1
10,probe,BY,1,1,3770,star,bell,136865.60000001919,140865.5649999855,0,458,-2,10,10,2021-04-13 15:27:44.604000+00:00,5,57,1
11,coin,BZ,1,1,4214,square,bell,148265.5200000154,152265.4249999905,10,215,-99,10,11,2021-04-13 15:27:56.004000+00:00,5,57,1
12,probe,BZ,1,1,4887,square,bell,156748.75000002794,160765.37999999712,0,193,0,20,12,2021-04-13 15:28:04.504000+00:00,5,57,1
13,probe,Y,1,1,5475,star,silent,172565.31500001438,176565.17000007446,0,430,-1,20,13,2021-04-13 15:28:20.304000+00:00,5,57,1
14,bomb,AX,1,1,6373,triangle,tinwhistle,187081.82000007946,191081.7500000121,0,440,-99,20,14,2021-04-13 15:28:34.820000+00:00,5,57,1
15,bomb,AW,1,1,6661,circle,tinwhistle,198031.750000082,202048.34500001746,0,453,-99,20,15,2021-04-13 15:28:45.787000+00:00,5,57,1
16,probe,Z,1,1,6313,square,silent,209148.24999996927,213148.20000005423,0,223,1,20,16,2021-04-13 15:28:56.886000+00:00,5,57,1
17,bomb,AW,1,1,4616,circle,tinwhistle,228764.7799999686,232764.8050000425,0,435,-99,20,17,2021-04-13 15:29:16.503000+00:00,5,57,1
18,probe,B,1,1,3563,empty,bell,237831.37500006703,241847.99999999808,0,330,2,20,18,2021-04-13 15:29:25.586000+00:00,5,57,1
19,coin,A,1,1,6777,empty,tinwhistle,251047.98500007016,255064.63500007518,10,285,-99,20,19,2021-04-13 15:29:38.803000+00:00,5,57,1
20,bomb,B,1,1,3288,empty,bell,262331.2300000107,266331.20000001515,-10,328,-99,30,20,2021-04-13 15:29:50.069000+00:00,5,57,1
21,coin,A,1,1,3543,empty,tinwhistle,270231.2549999915,274247.8500000434,0,433,-99,20,21,2021-04-13 15:29:57.986000+00:00,5,57,1
22,probe,AX,1,1,6304,triangle,tinwhistle,278547.8000000585,282564.4549999852,0,453,1,20,22,2021-04-13 15:30:06.302000+00:00,5,57,1
23,coin,AX,1,1,5224,triangle,tinwhistle,293297.6600000402,297297.5850000512,0,430,-99,20,23,2021-04-13 15:30:21.036000+00:00,5,57,1
24,probe,W,1,1,5603,circle,silent,303330.94000001444,307330.7900000364,0,435,-1,20,24,2021-04-13 15:30:31.069000+00:00,5,57,1
25,bomb,B,1,1,6843,empty,bell,317780.76500003226,321780.7250000769,-20,175,-99,20,25,2021-04-13 15:30:45.519000+00:00,5,57,1
