Unnamed: 0,outcome,cue,rep,interblock,iti,shape,sound,csOnset,usOnset,credit,distance,probeAns,score,thisTrialN,timestamp,designIndx,cueIndex,subjectID
0,coin,A,1,1,4765,empty,tinwhistle,22998.924999963485,27000.75000012293,10,310,-99,0,0,2021-04-13 14:19:20.791000+00:00,9,57,1
1,bomb,B,1,1,4877,empty,bell,32933.2249998115,36933.45999997109,-10,393,-99,10,1,2021-04-13 14:19:30.723000+00:00,9,57,1
2,bomb,B,1,1,5304,empty,bell,42533.404999878265,46533.485000021756,0,548,-99,0,2,2021-04-13 14:19:40.324000+00:00,9,57,1
3,coin,A,1,1,3714,empty,tinwhistle,52299.98000012711,56316.409999970354,0,568,-99,0,3,2021-04-13 14:19:50.106000+00:00,9,57,1
4,bomb,B,1,1,4041,empty,bell,60616.48999992758,64633.24500015006,0,473,-99,0,4,2021-04-13 14:19:58.423000+00:00,9,57,1
5,coin,A,1,1,5244,empty,tinwhistle,69349.94499990718,73350.02999985589,10,350,-99,0,5,2021-04-13 14:20:07.140000+00:00,9,57,1
6,bomb,B,1,1,3192,empty,bell,78816.79000006989,82832.77500001714,-10,290,-99,10,6,2021-04-13 14:20:16.623000+00:00,9,57,1
7,bomb,B,1,1,3091,empty,bell,86917.34000016004,90932.86499986424,-20,123,-99,0,7,2021-04-13 14:20:24.723000+00:00,9,57,1
8,coin,A,1,1,5299,empty,tinwhistle,94716.70500002801,98716.53999993578,10,385,-99,-20,8,2021-04-13 14:20:32.506000+00:00,9,57,1
9,coin,A,1,1,5128,empty,tinwhistle,104316.33999990301,108316.33500009775,0,418,-99,-10,9,2021-04-13 14:20:42.106000+00:00,9,57,1
10,bomb,B,1,1,4898,empty,bell,114166.77499981596,118166.01500008255,-10,330,-99,-10,10,2021-04-13 14:20:51.956000+00:00,9,57,1
11,coin,A,1,1,4981,empty,tinwhistle,123616.49499973284,127633.3099999465,0,445,-99,-20,11,2021-04-13 14:21:01.423000+00:00,9,57,1
12,bomb,B,1,1,3210,empty,bell,133016.71000011265,137033.0599998124,0,445,-99,-20,12,2021-04-13 14:21:10.823000+00:00,9,57,1
13,coin,A,1,1,5786,empty,tinwhistle,140449.60499973968,144449.61499981582,10,300,-99,-20,13,2021-04-13 14:21:18.240000+00:00,9,57,1
14,bomb,B,1,1,6335,empty,bell,150633.15999973565,154649.8849997297,-10,308,-99,-10,14,2021-04-13 14:21:28.440000+00:00,9,57,1
15,coin,A,1,1,6645,empty,tinwhistle,161416.36499995366,165432.86499986425,10,243,-99,-20,15,2021-04-13 14:21:39.223000+00:00,9,57,1
16,probe,A,2,1,7000,empty,tinwhistle,172466.37499984357,176466.40999987719,0,508,-2,-10,16,2021-04-13 14:21:50.256000+00:00,9,57,1
17,probe,B,2,1,7000,empty,bell,191567.18500005078,195566.39999989423,0,403,-2,-10,17,2021-04-13 14:22:09.357000+00:00,9,57,1
18,coin,A,2,1,5582,empty,tinwhistle,209033.1399999559,213032.95499971136,0,425,-99,-10,18,2021-04-13 14:22:26.823000+00:00,9,57,1
19,bomb,B,2,1,4101,empty,bell,219099.71500001848,223100.3899998032,0,415,-99,-10,19,2021-04-13 14:22:36.891000+00:00,9,57,1
20,coin,A,2,1,5900,empty,tinwhistle,227583.04499974477,231600.33500008285,10,270,-99,-10,20,2021-04-13 14:22:45.391000+00:00,9,57,1
21,coin,A,2,1,4098,empty,tinwhistle,238366.7799998075,242366.29500007254,0,528,-99,0,21,2021-04-13 14:22:56.157000+00:00,9,57,1
22,bomb,B,2,1,4495,empty,bell,246733.5700001568,250733.0700000748,0,443,-99,0,22,2021-04-13 14:23:04.524000+00:00,9,57,1
23,bomb,B,2,1,6442,empty,bell,255749.4700001553,259750.2449997701,-10,203,-99,0,23,2021-04-13 14:23:13.541000+00:00,9,57,1
24,coin,A,2,1,5973,empty,tinwhistle,266933.1950000487,270933.11499990517,0,438,-99,-10,24,2021-04-13 14:23:24.723000+00:00,9,57,1
25,bomb,B,2,1,4909,empty,bell,277600.1800000668,281600.1300001517,-10,318,-99,-10,25,2021-04-13 14:23:35.390000+00:00,9,57,1
26,coin,A,2,1,6734,empty,tinwhistle,287083.1149998121,291100.0500000082,10,393,-99,-20,26,2021-04-13 14:23:44.890000+00:00,9,57,1
27,bomb,B,2,1,5553,empty,bell,298099.6249997989,302099.9849997461,-10,285,-99,-10,27,2021-04-13 14:23:55.890000+00:00,9,57,1
28,coin,A,2,1,5382,empty,tinwhistle,307949.8799997382,311949.3350000121,20,133,-99,-20,28,2021-04-13 14:24:05.740000+00:00,9,57,1
29,coin,A,2,1,3485,empty,tinwhistle,318032.7300000936,322033.3349998109,10,380,-99,0,29,2021-04-13 14:24:15.824000+00:00,9,57,1
30,bomb,B,2,1,3935,empty,bell,22171.594999730587,26188.60499979928,-10,320,-99,10,30,2021-04-13 14:25:42.057000+00:00,9,57,1
